Company Name,Address,City,State,County,Employee Count,Annual Sales,Industry,Zip1
Mj Yoga,5145 Atlanta Hwy,Montgomery,AL,Montgomery,1 To 10,"Less Than $500,000",Personal Trainers-Fitness,36109
Powerhouse Fitness,5900 University Dr Nw Ste B,Huntsville,AL,Madison,1 To 10,"Less Than $500,000",Personal Trainers-Fitness,35806
Southern Images,Po Box 37,Fairhope,AL,Baldwin,1 To 10,$1 To 2.5 Million,Physical Fitness Facilities,36533
Commerce,215 41st St S,Birmingham,AL,Jefferson,10 To 19,"$500,000 To $1 Million",Physical Fitness Ct,35222
Alabaster Family Branch,117 Plaza Cir,Alabaster,AL,Shelby,1 To 10,"Less Than $500,000",Physical Fitness Ct,35007
Hometown Fitness,180 Council Dr,Odenville,AL,Saint Clair,1 To 10,"Less Than $500,000",Physical Fitness Ct,35120
Anytime Fitness,4955 Mcadory School Rd Ste 101,Mc Calla,AL,Jefferson,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35111
American Taekwondo,3186 Pelham Pkwy Ste G,Pelham,AL,Shelby,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35124
Cornerstone Fitness  Wellness,110 Baker Ave,Clanton,AL,Chilton,1 To 10,"Less Than $500,000",Physical Fitness Ct,35045
Pure Barre,2826 18th St S,Birmingham,AL,Jefferson,1 To 10,"Less Than $500,000",Physical Fitness Ct,35209
Anytime Fitness,11971 Liberty Pkwy,Birmingham,AL,Jefferson,1 To 10,"Less Than $500,000",Physical Fitness Ct,35242
Revolve Fitness At Rossbridge,2201 Grand Ave Ste 101,Hoover,AL,Jefferson,1 To 10,"Less Than $500,000",Physical Fitness Ct,35226
Swac,2101 6th Ave N Ste 700,Birmingham,AL,Jefferson,1 To 10,Unknown,Physical Fitness Ct,35203
Gold's Gym,3427 Colonnade Pkwy,Birmingham,AL,Jefferson,1 To 10,"Less Than $500,000",Physical Fitness Ct,35243
Fitness First,601 Medical Center Dr Sw,Fort Payne,AL,De Kalb,1 To 10,"Less Than $500,000",Physical Fitness Ct,35968
Angrygoat Athletics Inc,3739 Danville Rd Sw,Decatur,AL,Morgan,1 To 10,Unknown,Physical Fitness Ct,35603
East Limestone Diagnostic Ctr,27669 Capshaw Rd Ste A1,Harvest,AL,Limestone,1 To 10,"Less Than $500,000",Physical Fitness Ct,35749
"Nunez Jr, Charles J Md",809 University Blvd E,Tuscaloosa,AL,Tuscaloosa,1 To 10,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,35401
Beez Fitness,7495 Wall Triana Hwy,Madison,AL,Madison,1 To 10,"Less Than $500,000",Physical Fitness Ct,35757
"Zeien, Megan E Md",7938 Al Highway 69 Ste 350,Guntersville,AL,Marshall,1 To 10,"$500,000 To $1 Million",Physical Fitness Ct,35976
American Health  Fitness,15567 Highway 43,Russellville,AL,Franklin,1 To 10,"Less Than $500,000",Physical Fitness Ct,35653
Hogan's Gym,3331 Harrison Rd,Montgomery,AL,Montgomery,1 To 10,"Less Than $500,000",Physical Fitness Ct,36109
Recreation Movement,5287 Vaughn Rd,Montgomery,AL,Montgomery,1 To 10,"Less Than $500,000",Physical Fitness Ct,36116
Cross Fit Serious Fitness,14 E 14th St,Anniston,AL,Calhoun,10 To 19,"Less Than $500,000",Physical Fitness Ct,36201
Dynabody Fitness,1407 Hamric Dr E,Oxford,AL,Calhoun,10 To 19,"Less Than $500,000",Physical Fitness Ct,36203
Jason's Fitness,120 W Berry Ave,Foley,AL,Baldwin,1 To 10,"Less Than $500,000",Physical Fitness Ct,36535
Pure Barre,2415 Moores Mill Rd Unit 240,Auburn,AL,Lee,50 To 99,$1 To 2.5 Million,Physical Fitness Ct,36830
Carr Dean Personal Fitns Trnng,7998 American Way,Daphne,AL,Baldwin,1 To 10,"Less Than $500,000",Physical Fitness Ct,36526
Anytime Fitness,171 E I65 Service Rd S Ste D,Mobile,AL,Mobile,1 To 10,"Less Than $500,000",Physical Fitness Ct,36606
Life Plus Personal Fitness,3152 Old Shell Rd # 3,Mobile,AL,Mobile,1 To 10,"Less Than $500,000",Physical Fitness Ct,36607
Body Builders,2820 Citizens Pkwy Ste 18,Selma,AL,Dallas,1 To 10,"Less Than $500,000",Physical Fitness Ct,36701
Elite Gymnastics,1511 Sportsman Lake Rd Nw,Cullman,AL,Cullman,10 To 19,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,35055
Rac,18601 E Silverhill Ave,Robertsdale,AL,Baldwin,1 To 10,"Less Than $500,000",Physical Fitness Ct,36567
